tegenkomen	to encounter
mode	fashion
verkondigen	to proclaim, to put forward
woonplaats	residence
beslist	decisive, resolute
bovenaan	at the top
dijk	dike
gieten	to pour
misverstand	misunderstanding
omkomen	to die
trouw	faith(fulness)
afvoeren	to transport
eng	scary
ontploffen	to explode
rang	rank
richtlijn	guideline
ruilen	to exchange
straf	hard
deugd	virtue
discussiëren	to discuss
essentieel	essential
evident	evident
genezen	to cure
inrichting	design
jaloers	jealous
motto	motto
naïef	naive
nicht	niece, cousin
plezant	amusing
gruwelijk	horrible
kabel	cable
schaap	sheep
tienduizend	ten thousand
zolang	as long as
aanraden	to recommend
bui	shower, rain
medewerking	collaboration
opinie	opinion
piano	piano
afwisselen	to alternate
financiering	financing
merendeel	most, majority
receptie	reception
sedert	since
staking	strike
verschaffen	to provide
versturen	to send
voltooien	to complete
absurd	absurd
communiceren	to communicate
levenslang	lifelong
signaleren	to signal, to observe
vet	fat
zogezegd	so to speak
afgeven	to deliver
bijnaam	nickname
verbouwen	a) to renovate b) to cultivate
bedriegen	to cheat
code	code
herfst	autumn
meespelen	to take part, to play
orkest	orchestra
uiting	expression
verdienste	merit
bisschop	bishop
onnodig	unnecessary
profiel	profile
toestaan	to allow
transport	transport
beledigen	to offend
compromis	compromise
motivatie	motivation
pint	pint, (glass of) beer
reëel	real
zinloos	meaningless
zout	salt
aanstaand	next, this
buis	tube
deftig	distinguished
fascineren	to fascinate
inval	raid
opdoen	to gain
passage	passage
schooljaar	school year
weekblad	weekly magazine
filosoof	philosopher
industrieel	industrial
ingenieur	engineer
voorraad	stock
muis	mouse
baat	benefit
bakker	baker
front	front
logica	logic
overeenkomen	to correspond, to match
voorschrijven	to prescribe
aanslaan	a) to be successful b) to tax
beogen	to aim
betwijfelen	to doubt
onderdak	accommodation, shelter
staf	a) staff (object) b) staff (people)
telefonisch	telephonic
verschuiven	to move
zilver	silver
bespreking	discussion
fuif	party
illustreren	to illustrate
nagaan	to check
raadplegen	to consult
soepel	flexible, smooth
vrijkomen	a) to be set free b) to be released
zonnig	sunny
ambassade	embassy
bevriend	friendly
doodschieten	to shoot (dead)
homo	gay
patroon	pattern
planeet	planet
toewijzen	to assign
uitzetten	a) to turn off b) to deport, to throw out
afkomen	to come down
afleveren	to deliver
alvorens	before
leeuw	lion
systematisch	systematic
verdrijven	to expel
verwennen	to pamper
waardering	appreciation
alleenstaand	single
eenmalig	one-off
eenzelfde	same
haken	to catch, to hook
onderaan	at the bottom
terugbrengen	to return
uitbouwen	to extend
vondst	find
weghalen	to remove
uittrekken	to take off
dienstverlening	service(s)
immens	immense
korting	discount
stroming	current, movement
verkrachten	to rape
vliegveld	airport
beletten	to prevent
benadering	approximation, approach
consequentie	consequence
fungeren	to function
helling	slope
politieagent	police officer
ras	race, breed
relevant	relevant
stempel	stamp
uitvinden	to invent
werkgroep	working group
afstuderen	to graduate
bekleden	to occupy
kroon	crown
schrijfster	writer, authoress
tegenvallen	to disappoint
toer	tour
vergezellen	to accompany
verkennen	to explore
achterkant	back
bekomen	to recover
expliciet	explicit
minst	least
opera	opera
service	service
middeleeuws	medieval
object	object
overschot	surplus
psychisch	psychological
rijkdom	wealth
suiker	sugar
tegendeel	opposite
vergoeden	to reimburse
aanbieding	offer
ban	ban
bijhouden	to keep (up)
depressie	depression
graven	to dig
marge	margin
onszelf	ourselves
opa	grandpa
virus	virus
biografie	biography
overdragen	to pass on, to transfer
schandaal	scandal
advertentie	advertisement
bewaken	to guard
bundel	edited volume
herkomst	origin
klooster	monastery
peil	level
stadium	stage
